centre_lat,centre_lon,sounding_count,ch4_blended_ppb
29.8250,120.1750,55,1887.80
29.8250,120.4250,71,1889.87
29.8250,120.6750,11,1890.47
29.8250,120.9250,49,1887.40
29.8250,121.1750,2,1921.11
29.8250,121.4250,76,1879.68
29.8250,121.6750,26,1892.56
29.8250,121.9250,0,
29.8250,122.1750,0,
29.8250,122.4250,1,1863.87
29.5750,114.9250,21,1879.04
29.5750,115.1750,7,1877.11
29.5750,115.4250,3,1873.88
29.5750,115.6750,84,1887.04
29.5750,115.9250,31,1882.95
29.5750,116.1750,10,1877.45
29.5750,116.4250,134,1882.67
29.5750,116.6750,203,1882.86
29.5750,116.9250,121,1883.84
29.5750,117.1750,108,1880.76
29.5750,117.4250,65,1882.96
29.5750,117.6750,0,
29.5750,117.9250,0,
29.5750,118.1750,54,1881.53
29.5750,118.4250,13,1877.60
29.5750,118.6750,10,1886.85
29.5750,118.9250,0,
29.5750,119.1750,0,
29.5750,119.4250,11,1884.12
29.5750,119.6750,3,1891.59
29.5750,119.9250,23,1886.40
29.5750,120.1750,61,1885.48
29.5750,120.4250,26,1888.63
29.5750,120.6750,37,1888.06
29.5750,120.9250,61,1888.61
29.5750,121.1750,0,
29.5750,121.4250,12,1882.64
29.5750,121.6750,1,1840.25
29.5750,121.9250,0,
29.5750,122.1750,1,1840.64
29.5750,122.4250,32,1840.80
29.3250,114.9250,37,1879.65
29.3250,115.1750,13,1879.43
29.3250,115.4250,41,1880.65
29.3250,115.6750,165,1884.44
29.3250,115.9250,36,1884.03
29.3250,116.1750,3,1860.75
29.3250,116.4250,81,1885.93
29.3250,116.6750,68,1879.43
29.3250,116.9250,171,1880.28
29.3250,117.1750,179,1879.11
29.3250,117.4250,109,1878.49
29.3250,117.6750,165,1879.21
29.3250,117.9250,107,1877.88
29.3250,118.1750,0,
29.3250,118.4250,1,1873.87
29.3250,118.6750,18,1880.89
29.3250,118.9250,0,
29.3250,119.1750,20,1879.80
29.3250,119.4250,79,1872.58
29.3250,119.6750,19,1876.95
29.3250,119.9250,59,1888.14
29.3250,120.1750,44,1884.58
29.3250,120.4250,15,1885.29
29.3250,120.6750,6,1888.69
29.3250,120.9250,9,1875.26
29.3250,121.1750,0,
29.3250,121.4250,7,1889.09
29.3250,121.6750,2,1855.66
29.3250,121.9250,0,
29.3250,122.1750,10,1856.97
29.3250,122.4250,28,1847.36
29.0750,114.9250,21,1880.19
29.0750,115.1750,0,
29.0750,115.4250,4,1878.88
29.0750,115.6750,129,1880.28
29.0750,115.9250,61,1889.32
29.0750,116.1750,15,1909.81
29.0750,116.4250,0,
29.0750,116.6750,10,1881.70
29.0750,116.9250,181,1880.63
29.0750,117.1750,175,1880.89
29.0750,117.4250,173,1878.58
29.0750,117.6750,106,1879.21
29.0750,117.9250,79,1879.39
29.0750,118.1750,7,1878.68
29.0750,118.4250,40,1877.94
29.0750,118.6750,50,1876.86
29.0750,118.9250,108,1880.53
29.0750,119.1750,178,1876.47
29.0750,119.4250,138,1875.90
29.0750,119.6750,75,1883.70
29.0750,119.9250,30,1886.97
29.0750,120.1750,42,1884.08
29.0750,120.4250,14,1883.85
29.0750,120.6750,3,1900.08
29.0750,120.9250,10,1879.18
29.0750,121.1750,0,
29.0750,121.4250,1,1842.85
